epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3203,1.28029,2.67215,1.65063,0.89206,0.62985,0.74586,0.36736,1.5561,2.55078,1.92431,0.00015554,0.00015554,0.00015554
2,25.9719,1.23483,1.39601,1.48006,0.15619,0.20693,0.14446,0.06357,2.55225,3.74154,2.99283,0.000314216,0.000314216,0.000314216
3,36.8291,1.34406,1.44212,1.54658,0.14137,0.25542,0.18136,0.06839,2.6804,8.01314,3.41717,0.000464642,0.000464642,0.000464642
4,47.4939,1.37696,1.32963,1.56451,0.6599,0.33036,0.31077,0.12736,2.4682,3.79108,3.05411,0.00060682,0.00060682,0.00060682
5,58.4887,1.33313,1.24931,1.5254,0.10711,0.20632,0.07868,0.02683,3.24711,3.7866,3.77687,0.000740748,0.000740748,0.000740748
6,69.0107,1.48966,1.35945,1.67312,0.88805,0.15556,0.17176,0.08169,2.8784,4.33222,4.67637,0.000866427,0.000866427,0.000866427
7,79.2764,1.4146,1.22908,1.56345,0.13013,0.19286,0.09965,0.06015,2.57878,8.09521,3.19197,0.000946016,0.000946016,0.000946016
8,90.043,1.41354,1.24503,1.56876,0.26132,0.41789,0.11265,0.03718,2.53865,6.76602,3.21221,0.000918519,0.000918519,0.000918519
9,100.416,1.40865,1.22197,1.56617,0.08466,0.11169,0.05326,0.01678,3.34322,7.38096,3.36439,0.000891022,0.000891022,0.000891022
10,111.138,1.34507,1.21793,1.52312,0.55078,0.27619,0.17843,0.08974,2.62287,8.48591,3.35968,0.000863525,0.000863525,0.000863525
11,121.874,1.34396,1.16861,1.53306,0.30161,0.69182,0.5103,0.23316,1.86335,5.084,2.87105,0.000836027,0.000836027,0.000836027
12,132.755,1.33057,1.09678,1.50671,0.41779,0.31313,0.28578,0.12352,2.545,4.78771,2.96795,0.00080853,0.00080853,0.00080853
13,143.64,1.29069,1.09051,1.49075,0.29674,0.5192,0.3754,0.17281,2.04264,4.40244,2.4559,0.000781033,0.000781033,0.000781033
14,154.788,1.27697,1.0538,1.4743,0.56784,0.47843,0.52688,0.28552,1.65954,3.9055,2.15091,0.000753536,0.000753536,0.000753536
15,165.919,1.27158,1.06076,1.47792,0.44407,0.68149,0.55683,0.29606,1.68102,2.43823,2.16243,0.000726038,0.000726038,0.000726038
16,176.793,1.22541,0.98776,1.44939,0.51598,0.67507,0.63616,0.37544,1.6533,1.94242,2.11064,0.000698541,0.000698541,0.000698541
17,188.006,1.23244,0.97712,1.45037,0.68334,0.77096,0.78231,0.44697,1.47755,1.46691,1.83998,0.000671044,0.000671044,0.000671044
18,199.617,1.2367,0.91548,1.45573,0.63714,0.64937,0.76349,0.39373,1.61221,1.65446,1.97235,0.000643547,0.000643547,0.000643547
19,210.503,1.22755,0.91322,1.42212,0.78908,0.79569,0.90491,0.54451,1.51107,1.07089,1.73626,0.000616049,0.000616049,0.000616049
20,222.048,1.22239,0.92447,1.43069,0.74898,0.81234,0.86351,0.56602,1.44891,0.98091,1.75474,0.000588552,0.000588552,0.000588552
21,233.283,1.1821,0.84424,1.39297,0.68436,0.91688,0.87672,0.57231,1.46216,1.00543,1.74985,0.000561055,0.000561055,0.000561055
22,244.777,1.1624,0.80968,1.397,0.70116,0.78416,0.85711,0.54075,1.42577,1.08853,1.73537,0.000533558,0.000533558,0.000533558
23,255.981,1.14404,0.85711,1.36675,0.73979,0.85909,0.85876,0.53894,1.42746,0.93146,1.69195,0.00050606,0.00050606,0.00050606
24,266.939,1.0904,0.79023,1.34616,0.67755,0.87119,0.87573,0.56736,1.34984,0.95045,1.59704,0.000478563,0.000478563,0.000478563
25,278.466,1.09417,0.7615,1.32733,0.76335,0.88328,0.89694,0.57619,1.32993,0.8709,1.60565,0.000451066,0.000451066,0.000451066
26,289.693,1.07109,0.73266,1.36602,0.79682,0.92624,0.90549,0.57072,1.32771,0.79757,1.65396,0.000423569,0.000423569,0.000423569
27,300.877,1.03919,0.73082,1.32194,0.76566,0.92638,0.90099,0.58171,1.30969,0.80635,1.61379,0.000396071,0.000396071,0.000396071
28,312.104,1.07475,0.77994,1.34469,0.77817,0.94545,0.9388,0.6322,1.2523,0.76875,1.59032,0.000368574,0.000368574,0.000368574
29,323.275,1.02238,0.69662,1.2903,0.74231,0.86234,0.8655,0.56465,1.32781,0.91378,1.66285,0.000341077,0.000341077,0.000341077
30,334.255,1.03084,0.68355,1.28525,0.76423,0.88495,0.85234,0.60247,1.26149,0.78644,1.53904,0.00031358,0.00031358,0.00031358
31,347.65,1.08494,0.72563,1.43866,0.8346,0.90906,0.8904,0.58118,1.33973,0.78697,1.63943,0.000286083,0.000286083,0.000286083
32,358.737,1.005,0.64328,1.35938,0.92615,0.92541,0.94111,0.62577,1.28551,0.66163,1.58348,0.000258585,0.000258585,0.000258585
33,370.048,0.95847,0.58598,1.36339,0.84061,0.93611,0.92358,0.61066,1.27768,0.67399,1.57907,0.000231088,0.000231088,0.000231088
34,381.077,0.93784,0.58401,1.30813,0.85439,0.89006,0.90403,0.60173,1.33087,0.79496,1.58984,0.000203591,0.000203591,0.000203591
35,392.297,0.94103,0.57868,1.32511,0.83686,0.90909,0.90548,0.60322,1.30262,0.70365,1.61735,0.000176094,0.000176094,0.000176094
36,403.251,0.88774,0.51761,1.2806,0.78889,0.90909,0.88456,0.59393,1.32167,0.7471,1.62811,0.000148596,0.000148596,0.000148596
37,414.159,0.86725,0.51987,1.25223,0.85034,0.89428,0.89683,0.62366,1.23925,0.73601,1.53557,0.000121099,0.000121099,0.000121099
38,425.035,0.85967,0.52749,1.27767,0.83798,0.88615,0.88357,0.62759,1.15934,0.73549,1.48025,9.36017e-05,9.36017e-05,9.36017e-05
39,436.247,0.83356,0.48758,1.23802,0.81397,0.92173,0.88509,0.62299,1.17254,0.69822,1.5045,6.61045e-05,6.61045e-05,6.61045e-05
